No,Original_Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Egg_Group1,Egg_Group2,Category,is_mega,image_url,evolutionary_stage
29,Nidoran F,1,0.4,7,Poison,,Poison Point,Rivalry,Hustle,Blue,Monster,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,1
30,Nidorina,1,0.8,20,Poison,,Poison Point,Rivalry,Hustle,Blue,Undiscovered,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,2
31,Nidoqueen,1,1.3,60,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,Undiscovered,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,3
32,Nidoran M,1,0.5,9,Poison,,Poison Point,Rivalry,Hustle,Purple,Monster,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,1
33,Nidorino,1,0.9,19.5,Poison,,Poison Point,Rivalry,Hustle,Purple,Monster,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,2
34,Nidoking,1,1.4,62,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,Monster,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,3
35,Clefairy,1,0.6,7.5,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,Fairy,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,2
36,Clefable,1,1.3,40,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,Fairy,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,3
37,Vulpix,1,0.6,9.9,Fire,,Flash Fire,,Drought,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,1
38,Ninetales,1,1.1,19.9,Fire,,Flash Fire,,Drought,Yellow,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,2
39,Jigglypuff,1,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,Fairy,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,2
40,Wigglytuff,1,1,12,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,Fairy,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,3
41,Zubat,1,0.8,7.5,Poison,Flying,Inner Focus,,Infiltrator,Purple,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,1
42,Golbat,1,1.6,55,Poison,Flying,Inner Focus,,Infiltrator,Purple,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,2
43,Oddish,1,0.5,5.4,Grass,Poison,Chlorophyll,,Run Away,Blue,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,1
44,Gloom,1,0.8,8.6,Grass,Poison,Chlorophyll,,Stench,Blue,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,2
45,Vileplume,1,1.2,18.6,Grass,Poison,Chlorophyll,,Effect Spore,Red,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,3
46,Paras,1,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,Bug,Grass,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,1
47,Parasect,1,1,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,Bug,Grass,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,2
48,Venonat,1,1,30,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,1
49,Venomoth,1,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,2
50,Diglett,1,0.2,0.8,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,1
51,Dugtrio,1,0.7,33.3,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,2
52,Meowth,1,0.4,4.2,Normal,,Pickup,Technician,Unnerve,Yellow,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,1
53,Persian,1,1,32,Normal,,Limber,Technician,Unnerve,Yellow,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,2
54,Psyduck,1,0.8,19.6,Water,,Damp,Cloud Nine,Swift Swim,Yellow,Water1,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,1
55,Golduck,1,1.7,76.6,Water,,Damp,Cloud Nine,Swift Swim,Blue,Water1,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,2
56,Mankey,1,0.5,28,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,1
57,Primeape,1,1,32,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,2
58,Growlithe,1,0.7,19,Fire,,Intimidate,Flash Fire,Justified,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,1
59,Arcanine,1,1.9,155,Fire,,Intimidate,Flash Fire,Justified,Brown,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,2
60,Poliwag,1,0.6,12.4,Water,,Water Absorb,Damp,Swift Swim,Blue,Water1,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,1
61,Poliwhirl,1,1,20,Water,,Water Absorb,Damp,Swift Swim,Blue,Water1,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,2
62,Poliwrath,1,1.3,54,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,Water1,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,3
63,Abra,1,0.9,19.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,1
64,Kadabra,1,1.3,56.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,2
65,Alakazam,1,1.5,48,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,3
66,Machop,1,0.8,19.5,Fighting,,Guts,No Guard,Steadfast,Gray,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,1
67,Machoke,1,1.5,70.5,Fighting,,Guts,No Guard,Steadfast,Gray,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,2
68,Machamp,1,1.6,130,Fighting,,Guts,No Guard,Steadfast,Gray,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,3
69,Bellsprout,1,0.7,4,Grass,Poison,Chlorophyll,,Gluttony,Green,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,1
70,Weepinbell,1,1,6.4,Grass,Poison,Chlorophyll,,Gluttony,Green,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,2
71,Victreebel,1,1.7,15.5,Grass,Poison,Chlorophyll,,Gluttony,Green,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,3
72,Tentacool,1,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,1
73,Tentacruel,1,1.6,55,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,2
74,Geodude,1,0.4,20,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,1
75,Graveler,1,1,105,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,2
76,Golem,1,1.4,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,3
77,Ponyta,1,1,30,Fire,,Run Away,Flash Fire,Flame Body,Yellow,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,1
78,Rapidash,1,1.7,95,Fire,,Run Away,Flash Fire,Flame Body,Yellow,Ground,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,2
79,Slowpoke,1,1.2,36,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,Monster,Water1,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,1
80,Slowbro,1,1.6,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,Monster,Water1,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,2
81,Magnemite,1,0.3,6,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,1
82,Magneton,1,1,60,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,2
83,Farfetch'd,1,0.8,15,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown,Flying,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,1
84,Doduo,1,1.4,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,1
85,Dodrio,1,1.8,85.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,Flying,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,2
86,Seel,1,1.1,90,Water,,Thick Fat,Hydration,Ice Body,White,Water1,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,1
87,Dewgong,1,1.7,120,Water,Ice,Thick Fat,Hydration,Ice Body,White,Water1,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,2
88,Grimer,1,0.9,30,Poison,,Stench,Sticky Hold,Poison Touch,Purple,Amorphous,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,1
89,Muk,1,1.2,30,Poison,,Stench,Sticky Hold,Poison Touch,Purple,Amorphous,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,2
90,Shellder,1,0.3,4,Water,,Shell Armor,Skill Link,Overcoat,Purple,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,1
91,Cloyster,1,1.5,132.5,Water,Ice,Shell Armor,Skill Link,Overcoat,Purple,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,2
92,Gastly,1,1.3,0.1,Ghost,Poison,Levitate,,,Purple,Amorphous,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,1
93,Haunter,1,1.6,0.1,Ghost,Poison,Levitate,,,Purple,Amorphous,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,2
94,Gengar,1,1.5,40.5,Ghost,Poison,Cursed Body,,,Purple,Amorphous,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,3
95,Onix,1,8.8,210,Rock,Ground,Rock Head,Sturdy,Weak Armor,Gray,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,1
96,Drowzee,1,1,32.4,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,1
97,Hypno,1,1.6,75.6,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,2
98,Krabby,1,0.4,6.5,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,1
99,Kingler,1,1.3,60,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,2
100,Voltorb,1,0.5,10.4,Electric,,Soundproof,Static,Aftermath,Red,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,1
101,Electrode,1,1.2,66.6,Electric,,Soundproof,Static,Aftermath,Red,Mineral,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,2
102,Exeggcute,1,0.4,2.5,Grass,Psychic,Chlorophyll,,Harvest,Pink,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,1
103,Exeggutor,1,2,120,Grass,Psychic,Chlorophyll,,Harvest,Yellow,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,2
104,Cubone,1,0.4,6.5,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,Monster,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,1
105,Marowak,1,1,45,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,Monster,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,2
106,Hitmonlee,1,1.5,49.8,Fighting,,Limber,Reckless,Unburden,Brown,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,2
107,Hitmonchan,1,1.4,50.2,Fighting,,Keen Eye,Iron Fist,Inner Focus,Brown,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,2
108,Lickitung,1,1.2,65.5,Normal,,Own Tempo,Oblivious,Cloud Nine,Pink,Monster,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,1
109,Koffing,1,0.6,1,Poison,,Levitate,Neutralizing Gas,Stench,Purple,Amorphous,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,1
110,Weezing,1,1.2,9.5,Poison,,Levitate,Neutralizing Gas,Stench,Purple,Amorphous,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,2
111,Rhyhorn,1,1,115,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,Monster,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png,1
112,Rhydon,1,1.9,120,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,Monster,Ground,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,2
113,Chansey,1,1.1,34.6,Normal,,Natural Cure,Serene Grace,Healer,Pink,Fairy,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,2
114,Tangela,1,1,35,Grass,,Chlorophyll,Leaf Guard,Regenerator,Blue,Grass,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,1
115,Kangaskhan,1,2.2,80,Normal,,Early Bird,Scrappy,Inner Focus,Brown,Monster,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,1
116,Horsea,1,0.4,8,Water,,Swift Swim,Sniper,Damp,Blue,Water1,Dragon,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,1
117,Seadra,1,1.2,25,Water,,Poison Point,Sniper,Damp,Blue,Water1,Dragon,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,2
118,Goldeen,1,0.6,15,Water,,Swift Swim,Water Veil,Lightning Rod,Red,Water2,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,1
119,Seaking,1,1.3,39,Water,,Swift Swim,Water Veil,Lightning Rod,Red,Water2,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png,2
120,Staryu,1,0.8,34.5,Water,,Illuminate,Natural Cure,Analytic,Brown,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png,1
121,Starmie,1,1.1,80,Water,Psychic,Illuminate,Natural Cure,Analytic,Purple,Water3,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png,2
122,Mr. Mime,1,1.3,54.5,Psychic,Fairy,Soundproof,Filter,Technician,Pink,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png,2
123,Scyther,1,1.5,56,Bug,Flying,Swarm,Technician,Steadfast,Green,Bug,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png,1
124,Jynx,1,1.4,40.6,Ice,Psychic,Oblivious,Forewarn,Dry Skin,Red,Human-Like,,Ordinary,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png,2
