,No,Branch_Code,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,E_HP,E_Attack,E_Defense,E_SP_Attack,E_SP_Defense,E_Speed
11,9,9_0,Blastoise,Blastoise,1,1.6,85.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,265,1059860,Ordinary,,,79,83,100,85,105,78,530,0,0,0,0,3,0
12,9,9_1,Blastoise,Mega Blastoise,1,1.6,101.1,Water,,Mega Launcher,,,Blue,87.5,12.5,0,20,Monster,Water1,45,284,1059860,Ordinary,Mega,,79,103,120,135,115,78,630,0,0,0,0,3,0
13,10,10_0,Caterpie,Caterpie,1,0.3,2.9,Bug,,Shield Dust,,Run Away,Green,50.0,50.0,0,15,Bug,,255,39,1000000,Ordinary,,,45,30,35,20,20,45,195,1,0,0,0,0,0
14,11,11_0,Metapod,Metapod,1,0.7,9.9,Bug,,Shed Skin,,,Green,50.0,50.0,0,15,Bug,,120,72,1000000,Ordinary,,,50,20,55,25,25,30,205,0,0,2,0,0,0
15,12,12_0,Butterfree,Butterfree,1,1.1,32.0,Bug,Flying,Compound Eyes,,Tinted Lens,White,50.0,50.0,0,15,Bug,,45,198,1000000,Ordinary,,,60,45,50,90,80,70,395,0,0,0,2,1,0
16,13,13_0,Weedle,Weedle,1,0.3,3.2,Bug,Poison,Shield Dust,,Run Away,Brown,50.0,50.0,0,15,Bug,,255,39,1000000,Ordinary,,,40,35,30,20,20,50,195,0,0,0,0,0,1
17,14,14_0,Kakuna,Kakuna,1,0.6,10.0,Bug,Poison,Shed Skin,,,Yellow,50.0,50.0,0,15,Bug,,120,72,1000000,Ordinary,,,45,25,50,25,25,35,205,0,0,2,0,0,0
18,15,15_0,Beedrill,Beedrill,1,1.0,29.5,Bug,Poison,Swarm,,Sniper,Yellow,50.0,50.0,0,15,Bug,,45,198,1000000,Ordinary,,,65,90,40,45,80,75,395,0,2,0,0,1,0
19,15,15_1,Beedrill,Mega Beedrill,1,1.4,40.5,Bug,Poison,Adaptability,,,Yellow,50.0,50.0,0,15,Bug,,45,223,1000000,Ordinary,Mega,,65,150,40,15,80,145,495,0,2,0,0,1,0
20,16,16_0,Pidgey,Pidgey,1,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50.0,50.0,0,15,Flying,,255,50,1059860,Ordinary,,,40,45,40,35,35,56,251,0,0,0,0,0,1
21,17,17_0,Pidgeotto,Pidgeotto,1,1.1,30.0,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50.0,50.0,0,15,Flying,,120,122,1059860,Ordinary,,,63,60,55,50,50,71,349,0,0,0,0,0,2
22,18,18_0,Pidgeot,Pidgeot,1,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50.0,50.0,0,15,Flying,,45,240,1059860,Ordinary,,,83,80,75,70,70,101,479,0,0,0,0,0,3
23,18,18_1,Pidgeot,Mega Pidgeot,1,2.2,50.5,Normal,Flying,No Guard,,,Brown,50.0,50.0,0,15,Flying,,45,261,1059860,Ordinary,Mega,,83,80,80,135,80,121,579,0,0,0,0,0,3
24,19,19_0,Rattata,Rattata,1,0.3,3.5,Normal,,Run Away,Guts,Hustle,Purple,50.0,50.0,0,15,Ground,,255,51,1000000,Ordinary,,,30,56,35,25,35,72,253,0,0,0,0,0,1
25,19,19_1,Rattata,Alolan Rattata,7,0.3,3.8,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50.0,50.0,0,15,Ground,,255,51,1000000,Ordinary,,Alolan,30,56,35,25,35,72,253,0,0,0,0,0,1
26,20,20_0,Raticate,Raticate,1,0.7,18.5,Normal,,Run Away,Guts,Hustle,Brown,50.0,50.0,0,15,Ground,,127,145,1000000,Ordinary,,,55,81,60,50,70,97,413,0,0,0,0,0,2
27,20,20_1,Raticate,Alolan Raticate,7,0.7,25.5,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50.0,50.0,0,15,Ground,,127,145,1000000,Ordinary,,Alolan,75,71,70,40,80,77,413,0,0,0,0,0,2
28,21,21_0,Spearow,Spearow,1,0.3,2.0,Normal,Flying,Keen Eye,,Sniper,Brown,50.0,50.0,0,15,Flying,,255,52,1000000,Ordinary,,,40,60,30,31,31,70,262,0,0,0,0,0,1
29,22,22_0,Fearow,Fearow,1,1.2,38.0,Normal,Flying,Keen Eye,,Sniper,Brown,50.0,50.0,0,15,Flying,,90,155,1000000,Ordinary,,,65,90,65,61,61,100,442,0,0,0,0,0,2
30,23,23_0,Ekans,Ekans,1,2.0,6.9,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50.0,50.0,0,20,Ground,Dragon,255,58,1000000,Ordinary,,,35,60,44,40,54,55,288,0,1,0,0,0,0
31,24,24_0,Arbok,Arbok,1,3.5,65.0,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50.0,50.0,0,20,Ground,Dragon,90,157,1000000,Ordinary,,,60,95,69,65,79,80,448,0,2,0,0,0,0
32,25,25_0,Pikachu,Pikachu,1,0.4,6.0,Electric,,Static,,Lightning Rod,Yellow,50.0,50.0,0,10,Ground,Fairy,190,112,1000000,Ordinary,,,35,55,40,50,50,90,320,0,0,0,0,0,2
33,26,26_0,Raichu,Raichu,1,0.8,30.0,Electric,,Static,,Lightning Rod,Yellow,50.0,50.0,0,10,Ground,Fairy,75,243,1000000,Ordinary,,,60,90,55,90,80,110,485,0,0,0,0,0,3
34,26,26_1,Raichu,Alolan Raichu,7,0.7,21.0,Electric,Psychic,Surge Surfer,,,Brown,50.0,50.0,0,10,Ground,Fairy,75,243,1000000,Ordinary,,Alolan,60,85,50,95,85,110,485,0,0,0,0,0,3
35,27,27_0,Sandshrew,Sandshrew,1,0.6,12.0,Ground,,Sand Veil,,Sand Rush,Yellow,50.0,50.0,0,20,Ground,,255,60,1000000,Ordinary,,,50,75,85,20,30,40,300,0,0,1,0,0,0
36,27,27_1,Sandshrew,Alolan Sandshrew,7,0.7,40.0,Ice,Steel,Snow Cloak,,Slush Rush,White,50.0,50.0,0,20,Ground,,255,60,1000000,Ordinary,,Alolan,50,75,90,10,35,40,300,0,0,1,0,0,0
37,28,28_0,Sandslash,Sandslash,1,1.0,29.5,Ground,,Sand Veil,,Sand Rush,Yellow,50.0,50.0,0,20,Ground,,90,158,1000000,Ordinary,,,75,100,110,45,55,65,450,0,0,2,0,0,0
38,28,28_1,Sandslash,Alolan Sandslash,7,1.2,55.0,Ice,Steel,Snow Cloak,,Slush Rush,Blue,50.0,50.0,0,20,Ground,,90,158,1000000,Ordinary,,Alolan,75,100,120,25,65,65,450,0,0,2,0,0,0
39,29,29_0,Nidoran F,Nidoran F,1,0.4,7.0,Poison,,Poison Point,Rivalry,Hustle,Blue,0.0,100.0,0,20,Monster,Ground,235,55,1059860,Ordinary,,,55,47,52,40,40,41,275,1,0,0,0,0,0
40,30,30_0,Nidorina,Nidorina,1,0.8,20.0,Poison,,Poison Point,Rivalry,Hustle,Blue,0.0,100.0,0,20,Undiscovered,,120,128,1059860,Ordinary,,,70,62,67,55,55,56,365,2,0,0,0,0,0
41,31,31_0,Nidoqueen,Nidoqueen,1,1.3,60.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,0.0,100.0,0,20,Undiscovered,,45,253,1059860,Ordinary,,,90,92,87,75,85,76,505,3,0,0,0,0,0
42,32,32_0,Nidoran M,Nidoran M,1,0.5,9.0,Poison,,Poison Point,Rivalry,Hustle,Purple,100.0,0.0,0,20,Monster,Ground,235,55,1059860,Ordinary,,,46,57,40,40,40,50,273,0,1,0,0,0,0
43,33,33_0,Nidorino,Nidorino,1,0.9,19.5,Poison,,Poison Point,Rivalry,Hustle,Purple,100.0,0.0,0,20,Monster,Ground,120,128,1059860,Ordinary,,,61,72,57,55,55,65,365,0,2,0,0,0,0
44,34,34_0,Nidoking,Nidoking,1,1.4,62.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,100.0,0.0,0,20,Monster,Ground,45,253,1059860,Ordinary,,,81,102,77,85,75,85,505,0,3,0,0,0,0
45,35,35_0,Clefairy,Clefairy,1,0.6,7.5,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,25.0,75.0,0,10,Fairy,,150,113,800000,Ordinary,,,70,45,48,60,65,35,323,2,0,0,0,0,0
46,36,36_0,Clefable,Clefable,1,1.3,40.0,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,25.0,75.0,0,10,Fairy,,25,242,800000,Ordinary,,,95,70,73,95,90,60,483,3,0,0,0,0,0
47,37,37_0,Vulpix,Vulpix,1,0.6,9.9,Fire,,Flash Fire,,Drought,Brown,25.0,75.0,0,20,Ground,,190,60,1000000,Ordinary,,,38,41,40,50,65,65,299,0,0,0,0,0,1
48,37,37_1,Vulpix,Alolan Vulpix,7,0.6,9.9,Ice,,Snow Cloak,,Snow Warning,White,25.0,75.0,0,20,Ground,,190,60,1000000,Ordinary,,Alolan,38,41,40,50,65,65,299,0,0,0,0,0,1
49,38,38_0,Ninetales,Ninetales,1,1.1,19.9,Fire,,Flash Fire,,Drought,Yellow,25.0,75.0,0,20,Ground,,75,177,1000000,Ordinary,,,73,76,75,81,100,100,505,0,0,0,0,1,1
50,38,38_1,Ninetales,Alolan Ninetales,7,1.1,19.9,Ice,Fairy,Snow Cloak,,Snow Warning,Blue,25.0,75.0,0,20,Ground,,75,177,1000000,Ordinary,,Alolan,73,67,75,81,100,109,505,0,0,0,0,0,2
51,39,39_0,Jigglypuff,Jigglypuff,1,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,25.0,75.0,0,10,Fairy,,170,95,800000,Ordinary,,,115,45,20,45,25,20,270,2,0,0,0,0,0
52,40,40_0,Wigglytuff,Wigglytuff,1,1.0,12.0,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,25.0,75.0,0,10,Fairy,,50,218,800000,Ordinary,,,140,70,45,85,50,45,435,3,0,0,0,0,0
53,41,41_0,Zubat,Zubat,1,0.8,7.5,Poison,Flying,Inner Focus,,Infiltrator,Purple,50.0,50.0,0,15,Flying,,255,49,1000000,Ordinary,,,40,45,35,30,40,55,245,0,0,0,0,0,1
54,42,42_0,Golbat,Golbat,1,1.6,55.0,Poison,Flying,Inner Focus,,Infiltrator,Purple,50.0,50.0,0,15,Flying,,90,159,1000000,Ordinary,,,75,80,70,65,75,90,455,0,0,0,0,0,2
55,43,43_0,Oddish,Oddish,1,0.5,5.4,Grass,Poison,Chlorophyll,,Run Away,Blue,50.0,50.0,0,20,Grass,,255,64,1059860,Ordinary,,,45,50,55,75,65,30,320,0,0,0,1,0,0
56,44,44_0,Gloom,Gloom,1,0.8,8.6,Grass,Poison,Chlorophyll,,Stench,Blue,50.0,50.0,0,20,Grass,,120,138,1059860,Ordinary,,,60,65,70,85,75,40,395,0,0,0,2,0,0
57,45,45_0,Vileplume,Vileplume,1,1.2,18.6,Grass,Poison,Chlorophyll,,Effect Spore,Red,50.0,50.0,0,20,Grass,,45,245,1059860,Ordinary,,,75,80,85,110,90,50,490,0,0,0,3,0,0
58,46,46_0,Paras,Paras,1,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50.0,50.0,0,20,Bug,Grass,190,57,1000000,Ordinary,,,35,70,55,45,55,25,285,0,1,0,0,0,0
59,47,47_0,Parasect,Parasect,1,1.0,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50.0,50.0,0,20,Bug,Grass,75,142,1000000,Ordinary,,,60,95,80,60,80,30,405,0,2,1,0,0,0
60,48,48_0,Venonat,Venonat,1,1.0,30.0,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,50.0,50.0,0,20,Bug,,190,61,1000000,Ordinary,,,60,55,50,40,55,45,305,0,0,0,0,1,0
61,49,49_0,Venomoth,Venomoth,1,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,50.0,50.0,0,20,Bug,,75,158,1000000,Ordinary,,,70,65,60,90,75,90,450,0,0,0,1,0,1
62,50,50_0,Diglett,Diglett,1,0.2,0.8,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50.0,50.0,0,20,Ground,,255,53,1000000,Ordinary,,,10,55,25,35,45,95,265,0,0,0,0,0,1
63,50,50_1,Diglett,Alolan Diglett,7,0.2,1.0,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50.0,50.0,0,20,Ground,,255,53,1000000,Ordinary,,Alolan,10,55,30,35,45,90,265,0,0,0,0,0,1
64,51,51_0,Dugtrio,Dugtrio,1,0.7,33.3,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50.0,50.0,0,20,Ground,,50,149,1000000,Ordinary,,,35,100,50,50,70,120,425,0,0,0,0,0,2
65,51,51_1,Dugtrio,Alolan Dugtrio,7,0.7,66.6,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50.0,50.0,0,20,Ground,,50,149,1000000,Ordinary,,Alolan,35,100,60,50,70,110,425,0,2,0,0,0,0
66,52,52_0,Meowth,Meowth,1,0.4,4.2,Normal,,Pickup,Technician,Unnerve,Yellow,50.0,50.0,0,20,Ground,,255,58,1000000,Ordinary,,,40,45,35,40,40,90,290,0,0,0,0,0,1
67,52,52_1,Meowth,Alolan Meowth,7,0.4,4.2,Dark,,Pickup,Technician,Rattled,Blue,50.0,50.0,0,20,Ground,,255,58,1000000,Ordinary,,Alolan,40,35,35,50,40,90,290,0,0,0,0,0,1
68,52,52_2,Meowth,Galarian Meowth,8,0.4,7.5,Steel,,Pickup,Tough Claws,Unnerve,Brown,50.0,50.0,0,20,Ground,,255,58,1000000,Ordinary,,Galarian,50,65,55,40,40,40,290,0,1,0,0,0,0
69,53,53_0,Persian,Persian,1,1.0,32.0,Normal,,Limber,Technician,Unnerve,Yellow,50.0,50.0,0,20,Ground,,90,154,1000000,Ordinary,,,65,70,60,65,65,115,440,0,0,0,0,0,2
70,53,53_1,Persian,Alolan Persian,7,1.1,33.0,Dark,,Fur Coat,Technician,Rattled,Blue,50.0,50.0,0,20,Ground,,90,154,1000000,Ordinary,,Alolan,65,60,60,75,65,115,440,0,0,0,0,0,2
71,54,54_0,Psyduck,Psyduck,1,0.8,19.6,Water,,Damp,Cloud Nine,Swift Swim,Yellow,50.0,50.0,0,20,Water1,Ground,190,64,1000000,Ordinary,,,50,52,48,65,50,55,320,0,0,0,1,0,0
72,55,55_0,Golduck,Golduck,1,1.7,76.6,Water,,Damp,Cloud Nine,Swift Swim,Blue,50.0,50.0,0,20,Water1,Ground,75,175,1000000,Ordinary,,,80,82,78,95,80,85,500,0,0,0,2,0,0
73,56,56_0,Mankey,Mankey,1,0.5,28.0,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50.0,50.0,0,20,Ground,,190,61,1000000,Ordinary,,,40,80,35,35,45,70,305,0,1,0,0,0,0
74,57,57_0,Primeape,Primeape,1,1.0,32.0,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50.0,50.0,0,20,Ground,,75,159,1000000,Ordinary,,,65,105,60,60,70,95,455,0,2,0,0,0,0
75,58,58_0,Growlithe,Growlithe,1,0.7,19.0,Fire,,Intimidate,Flash Fire,Justified,Brown,75.0,25.0,0,20,Ground,,190,70,1250000,Ordinary,,,55,70,45,70,50,60,350,0,1,0,0,0,0
76,58,58_1,Growlithe,Hisuian Growlithe,8,0.8,22.7,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75.0,25.0,0,20,Ground,,190,70,1250000,Ordinary,,Hisuian,60,75,45,65,50,55,350,0,1,0,0,0,0
77,59,59_0,Arcanine,Arcanine,1,1.9,155.0,Fire,,Intimidate,Flash Fire,Justified,Brown,75.0,25.0,0,20,Ground,,75,194,1250000,Ordinary,,,90,110,80,100,80,95,555,0,2,0,0,0,0
78,59,59_1,Arcanine,Hisuian Arcanine,8,2.0,168.0,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75.0,25.0,0,20,Ground,,75,194,1250000,Ordinary,,Hisuian,95,115,80,95,80,90,555,0,2,0,0,0,0
79,60,60_0,Poliwag,Poliwag,1,0.6,12.4,Water,,Water Absorb,Damp,Swift Swim,Blue,50.0,50.0,0,20,Water1,,255,60,1059860,Ordinary,,,40,50,40,40,40,90,300,0,0,0,0,0,1
80,61,61_0,Poliwhirl,Poliwhirl,1,1.0,20.0,Water,,Water Absorb,Damp,Swift Swim,Blue,50.0,50.0,0,20,Water1,,120,135,1059860,Ordinary,,,65,65,65,50,50,90,385,0,0,0,0,0,2
81,62,62_0,Poliwrath,Poliwrath,1,1.3,54.0,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,50.0,50.0,0,20,Water1,,45,255,1059860,Ordinary,,,90,95,95,70,90,70,510,0,0,3,0,0,0
82,63,63_0,Abra,Abra,1,0.9,19.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75.0,25.0,0,20,Human-Like,,200,62,1059860,Ordinary,,,25,20,15,105,55,90,310,0,0,0,1,0,0
83,64,64_0,Kadabra,Kadabra,1,1.3,56.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75.0,25.0,0,20,Human-Like,,100,140,1059860,Ordinary,,,40,35,30,120,70,105,400,0,0,0,2,0,0
84,65,65_0,Alakazam,Alakazam,1,1.5,48.0,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75.0,25.0,0,20,Human-Like,,50,250,1059860,Ordinary,,,55,50,45,135,95,120,500,0,0,0,3,0,0
85,65,65_1,Alakazam,Mega Alakazam,1,1.2,48.0,Psychic,,Trace,,,Brown,75.0,25.0,0,20,Human-Like,,50,270,1059860,Ordinary,Mega,,55,50,65,175,105,150,600,0,0,0,3,0,0
86,66,66_0,Machop,Machop,1,0.8,19.5,Fighting,,Guts,No Guard,Steadfast,Gray,75.0,25.0,0,20,Human-Like,,180,61,1059860,Ordinary,,,70,80,50,35,35,35,305,0,1,0,0,0,0
87,67,67_0,Machoke,Machoke,1,1.5,70.5,Fighting,,Guts,No Guard,Steadfast,Gray,75.0,25.0,0,20,Human-Like,,90,142,1059860,Ordinary,,,80,100,70,50,60,45,405,0,2,0,0,0,0
88,68,68_0,Machamp,Machamp,1,1.6,130.0,Fighting,,Guts,No Guard,Steadfast,Gray,75.0,25.0,0,20,Human-Like,,45,253,1059860,Ordinary,,,90,130,80,65,85,55,505,0,3,0,0,0,0
89,69,69_0,Bellsprout,Bellsprout,1,0.7,4.0,Grass,Poison,Chlorophyll,,Gluttony,Green,50.0,50.0,0,20,Grass,,255,60,1059860,Ordinary,,,50,75,35,70,30,40,300,0,1,0,0,0,0
90,70,70_0,Weepinbell,Weepinbell,1,1.0,6.4,Grass,Poison,Chlorophyll,,Gluttony,Green,50.0,50.0,0,20,Grass,,120,137,1059860,Ordinary,,,65,90,50,85,45,55,390,0,2,0,0,0,0
91,71,71_0,Victreebel,Victreebel,1,1.7,15.5,Grass,Poison,Chlorophyll,,Gluttony,Green,50.0,50.0,0,20,Grass,,45,245,1059860,Ordinary,,,80,105,65,100,70,70,490,0,3,0,0,0,0
92,72,72_0,Tentacool,Tentacool,1,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50.0,50.0,0,20,Water3,,190,67,1250000,Ordinary,,,40,40,35,50,100,70,335,0,0,0,0,1,0
93,73,73_0,Tentacruel,Tentacruel,1,1.6,55.0,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50.0,50.0,0,20,Water3,,60,180,1250000,Ordinary,,,80,70,65,80,120,100,515,0,0,0,0,2,0
94,74,74_0,Geodude,Geodude,1,0.4,20.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50.0,50.0,0,15,Mineral,,255,60,1059860,Ordinary,,,40,80,100,30,30,20,300,0,0,1,0,0,0
95,74,74_1,Geodude,Alolan Geodude,7,0.4,20.3,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50.0,50.0,0,15,Mineral,,255,60,1059860,Ordinary,,Alolan,40,80,100,30,30,20,300,0,0,1,0,0,0
96,75,75_0,Graveler,Graveler,1,1.0,105.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50.0,50.0,0,15,Mineral,,120,137,1059860,Ordinary,,,55,95,115,45,45,35,390,0,0,2,0,0,0
97,75,75_1,Graveler,Alolan Graveler,7,1.0,110.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50.0,50.0,0,15,Mineral,,120,137,1059860,Ordinary,,Alolan,55,95,115,45,45,35,390,0,0,2,0,0,0
98,76,76_0,Golem,Golem,1,1.4,300.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50.0,50.0,0,15,Mineral,,45,223,1059860,Ordinary,,,80,120,130,55,65,45,495,0,0,3,0,0,0
99,76,76_1,Golem,Alolan Golem,7,1.7,316.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50.0,50.0,0,15,Mineral,,45,223,1059860,Ordinary,,Alolan,80,120,130,55,65,45,495,0,0,3,0,0,0
100,77,77_0,Ponyta,Ponyta,1,1.0,30.0,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50.0,50.0,0,20,Ground,,190,82,1000000,Ordinary,,,50,85,55,65,65,90,410,0,0,0,0,0,1
101,77,77_1,Ponyta,Galarian Ponyta,8,0.8,24.0,Psychic,,Run Away,Pastel Veil,Anticipation,White,50.0,50.0,0,20,Ground,,190,82,1000000,Ordinary,,Galarian,50,85,55,65,65,90,410,0,0,0,0,0,1
102,78,78_0,Rapidash,Rapidash,1,1.7,95.0,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50.0,50.0,0,20,Ground,,60,175,1000000,Ordinary,,,65,100,70,80,80,105,500,0,0,0,0,0,2
103,78,78_1,Rapidash,Galarian Rapidash,8,1.7,80.0,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,White,50.0,50.0,0,20,Ground,,60,175,1000000,Ordinary,,Galarian,65,100,70,80,80,105,500,0,0,0,0,0,2
104,79,79_0,Slowpoke,Slowpoke,1,1.2,36.0,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50.0,50.0,0,20,Monster,Water1,190,63,1000000,Ordinary,,,90,65,65,40,40,15,315,1,0,0,0,0,0
105,79,79_1,Slowpoke,Galarian Slowpoke,8,1.2,36.0,Psychic,,Gluttony,Own Tempo,Regenerator,Pink,50.0,50.0,0,20,Monster,Water1,190,63,1000000,Ordinary,,Galarian,90,65,65,40,40,15,315,1,0,0,0,0,0
106,80,80_0,Slowbro,Slowbro,1,1.6,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50.0,50.0,0,20,Monster,Water1,75,172,1000000,Ordinary,,,95,75,110,100,80,30,490,0,0,2,0,0,0
107,80,80_1,Slowbro,Galarian Slowbro,8,1.6,70.5,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,Pink,50.0,50.0,0,20,Monster,Water1,75,172,1000000,Ordinary,,Galarian,95,100,95,100,70,30,490,0,2,0,0,0,0
108,80,80_2,Slowbro,Mega Slowbro,1,2.0,120.0,Water,Psychic,Shell Armor,,,Pink,50.0,50.0,0,20,Monster,Water1,75,207,1000000,Ordinary,Mega,,95,75,180,130,80,30,590,0,0,2,0,0,0
109,81,81_0,Magnemite,Magnemite,1,0.3,6.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0.0,0.0,100,20,Mineral,,190,65,1000000,Ordinary,,,25,35,70,95,55,45,325,0,0,0,1,0,0
110,82,82_0,Magneton,Magneton,1,1.0,60.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0.0,0.0,100,20,Mineral,,60,163,1000000,Ordinary,,,50,60,95,120,70,70,465,0,0,0,2,0,0
111,83,83_0,Farfetch'd,Farfetch'd,1,0.8,15.0,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown,50.0,50.0,0,20,Flying,Ground,45,132,1000000,Ordinary,,,52,90,55,58,62,60,377,0,1,0,0,0,0
112,83,83_1,Farfetch'd,Galarian Farfetch'd,8,0.8,42.0,Fighting,,Steadfast,,Scrappy,Brown,50.0,50.0,0,20,Flying,Ground,45,132,1000000,Ordinary,,Galarian,52,95,55,58,62,55,377,0,1,0,0,0,0
113,84,84_0,Doduo,Doduo,1,1.4,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50.0,50.0,0,20,Flying,,190,62,1000000,Ordinary,,,35,85,45,35,35,75,310,0,1,0,0,0,0
