,No,Branch_Code,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Egg_Group1,Egg_Group2,Category,Region_Form,is_mega
87,67,67_0,Machoke,Machoke,1,1.5,70.5,Fighting,,Guts,No Guard,Steadfast,Gray,Human-Like,,Ordinary,,False
88,68,68_0,Machamp,Machamp,1,1.6,130.0,Fighting,,Guts,No Guard,Steadfast,Gray,Human-Like,,Ordinary,,False
89,69,69_0,Bellsprout,Bellsprout,1,0.7,4.0,Grass,Poison,Chlorophyll,,Gluttony,Green,Grass,,Ordinary,,False
90,70,70_0,Weepinbell,Weepinbell,1,1.0,6.4,Grass,Poison,Chlorophyll,,Gluttony,Green,Grass,,Ordinary,,False
91,71,71_0,Victreebel,Victreebel,1,1.7,15.5,Grass,Poison,Chlorophyll,,Gluttony,Green,Grass,,Ordinary,,False
92,72,72_0,Tentacool,Tentacool,1,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,Water3,,Ordinary,,False
93,73,73_0,Tentacruel,Tentacruel,1,1.6,55.0,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,Water3,,Ordinary,,False
94,74,74_0,Geodude,Geodude,1,0.4,20.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,Mineral,,Ordinary,,False
95,74,74_1,Geodude,Alolan Geodude,7,0.4,20.3,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,Mineral,,Ordinary,Alolan,False
96,75,75_0,Graveler,Graveler,1,1.0,105.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,Mineral,,Ordinary,,False
97,75,75_1,Graveler,Alolan Graveler,7,1.0,110.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,Mineral,,Ordinary,Alolan,False
98,76,76_0,Golem,Golem,1,1.4,300.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,Mineral,,Ordinary,,False
99,76,76_1,Golem,Alolan Golem,7,1.7,316.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,Mineral,,Ordinary,Alolan,False
100,77,77_0,Ponyta,Ponyta,1,1.0,30.0,Fire,,Run Away,Flash Fire,Flame Body,Yellow,Ground,,Ordinary,,False
101,77,77_1,Ponyta,Galarian Ponyta,8,0.8,24.0,Psychic,,Run Away,Pastel Veil,Anticipation,White,Ground,,Ordinary,Galarian,False
102,78,78_0,Rapidash,Rapidash,1,1.7,95.0,Fire,,Run Away,Flash Fire,Flame Body,Yellow,Ground,,Ordinary,,False
103,78,78_1,Rapidash,Galarian Rapidash,8,1.7,80.0,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,White,Ground,,Ordinary,Galarian,False
104,79,79_0,Slowpoke,Slowpoke,1,1.2,36.0,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,Monster,Water1,Ordinary,,False
105,79,79_1,Slowpoke,Galarian Slowpoke,8,1.2,36.0,Psychic,,Gluttony,Own Tempo,Regenerator,Pink,Monster,Water1,Ordinary,Galarian,False
106,80,80_0,Slowbro,Slowbro,1,1.6,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,Monster,Water1,Ordinary,,False
107,80,80_1,Slowbro,Galarian Slowbro,8,1.6,70.5,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,Pink,Monster,Water1,Ordinary,Galarian,False
108,80,80_2,Slowbro,Mega Slowbro,1,2.0,120.0,Water,Psychic,Shell Armor,,,Pink,Monster,Water1,Ordinary,,True
109,81,81_0,Magnemite,Magnemite,1,0.3,6.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,Mineral,,Ordinary,,False
110,82,82_0,Magneton,Magneton,1,1.0,60.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,Mineral,,Ordinary,,False
111,83,83_0,Farfetch'd,Farfetch'd,1,0.8,15.0,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown,Flying,Ground,Ordinary,,False
112,83,83_1,Farfetch'd,Galarian Farfetch'd,8,0.8,42.0,Fighting,,Steadfast,,Scrappy,Brown,Flying,Ground,Ordinary,Galarian,False
113,84,84_0,Doduo,Doduo,1,1.4,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,Flying,,Ordinary,,False
114,85,85_0,Dodrio,Dodrio,1,1.8,85.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,Flying,,Ordinary,,False
115,86,86_0,Seel,Seel,1,1.1,90.0,Water,,Thick Fat,Hydration,Ice Body,White,Water1,Ground,Ordinary,,False
116,87,87_0,Dewgong,Dewgong,1,1.7,120.0,Water,Ice,Thick Fat,Hydration,Ice Body,White,Water1,Ground,Ordinary,,False
117,88,88_0,Grimer,Grimer,1,0.9,30.0,Poison,,Stench,Sticky Hold,Poison Touch,Purple,Amorphous,,Ordinary,,False
118,88,88_1,Grimer,Alolan Grimer,7,0.7,42.0,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Green,Amorphous,,Ordinary,Alolan,False
119,89,89_0,Muk,Muk,1,1.2,30.0,Poison,,Stench,Sticky Hold,Poison Touch,Purple,Amorphous,,Ordinary,,False
120,89,89_1,Muk,Alolan Muk,7,1.0,52.0,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Green,Amorphous,,Ordinary,Alolan,False
121,90,90_0,Shellder,Shellder,1,0.3,4.0,Water,,Shell Armor,Skill Link,Overcoat,Purple,Water3,,Ordinary,,False
122,91,91_0,Cloyster,Cloyster,1,1.5,132.5,Water,Ice,Shell Armor,Skill Link,Overcoat,Purple,Water3,,Ordinary,,False
123,92,92_0,Gastly,Gastly,1,1.3,0.1,Ghost,Poison,Levitate,,,Purple,Amorphous,,Ordinary,,False
124,93,93_0,Haunter,Haunter,1,1.6,0.1,Ghost,Poison,Levitate,,,Purple,Amorphous,,Ordinary,,False
125,94,94_0,Gengar,Gengar,1,1.5,40.5,Ghost,Poison,Cursed Body,,,Purple,Amorphous,,Ordinary,,False
126,94,94_1,Gengar,Mega Gengar,1,1.4,40.5,Ghost,Poison,Shadow Tag,,,Purple,Amorphous,,Ordinary,,True
127,95,95_0,Onix,Onix,1,8.8,210.0,Rock,Ground,Rock Head,Sturdy,Weak Armor,Gray,Mineral,,Ordinary,,False
128,96,96_0,Drowzee,Drowzee,1,1.0,32.4,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,Human-Like,,Ordinary,,False
129,97,97_0,Hypno,Hypno,1,1.6,75.6,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,Human-Like,,Ordinary,,False
130,98,98_0,Krabby,Krabby,1,0.4,6.5,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,Water3,,Ordinary,,False
131,99,99_0,Kingler,Kingler,1,1.3,60.0,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,Water3,,Ordinary,,False
132,100,100_0,Voltorb,Voltorb,1,0.5,10.4,Electric,,Soundproof,Static,Aftermath,Red,Mineral,,Ordinary,,False
133,100,100_1,Voltorb,Hisuian Voltorb,8,0.5,13.0,Electric,Grass,Soundproof,Static,Aftermath,Red,Mineral,,Ordinary,Hisuian,False
134,101,101_0,Electrode,Electrode,1,1.2,66.6,Electric,,Soundproof,Static,Aftermath,Red,Mineral,,Ordinary,,False
135,101,101_1,Electrode,Hisuian Electrode,8,1.2,71.0,Electric,Grass,Soundproof,Static,Aftermath,Red,Mineral,,Ordinary,Hisuian,False
136,102,102_0,Exeggcute,Exeggcute,1,0.4,2.5,Grass,Psychic,Chlorophyll,,Harvest,Pink,Grass,,Ordinary,,False
137,103,103_0,Exeggutor,Exeggutor,1,2.0,120.0,Grass,Psychic,Chlorophyll,,Harvest,Yellow,Grass,,Ordinary,,False
138,103,103_1,Exeggutor,Alolan Exeggutor,7,10.9,415.6,Grass,Dragon,Frisk,,Harvest,Yellow,Grass,,Ordinary,Alolan,False
139,104,104_0,Cubone,Cubone,1,0.4,6.5,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,Monster,,Ordinary,,False
140,105,105_0,Marowak,Marowak,1,1.0,45.0,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,Monster,,Ordinary,,False
141,105,105_1,Marowak,Alolan Marowak,7,1.0,34.0,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,Purple,Monster,,Ordinary,Alolan,False
142,106,106_0,Hitmonlee,Hitmonlee,1,1.5,49.8,Fighting,,Limber,Reckless,Unburden,Brown,Human-Like,,Ordinary,,False
143,107,107_0,Hitmonchan,Hitmonchan,1,1.4,50.2,Fighting,,Keen Eye,Iron Fist,Inner Focus,Brown,Human-Like,,Ordinary,,False
144,108,108_0,Lickitung,Lickitung,1,1.2,65.5,Normal,,Own Tempo,Oblivious,Cloud Nine,Pink,Monster,,Ordinary,,False
145,109,109_0,Koffing,Koffing,1,0.6,1.0,Poison,,Levitate,Neutralizing Gas,Stench,Purple,Amorphous,,Ordinary,,False
146,110,110_0,Weezing,Weezing,1,1.2,9.5,Poison,,Levitate,Neutralizing Gas,Stench,Purple,Amorphous,,Ordinary,,False
147,110,110_1,Weezing,Galarian Weezing,8,3.0,16.0,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,Gray,Amorphous,,Ordinary,Galarian,False
148,111,111_0,Rhyhorn,Rhyhorn,1,1.0,115.0,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,Monster,Ground,Ordinary,,False
149,112,112_0,Rhydon,Rhydon,1,1.9,120.0,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,Monster,Ground,Ordinary,,False
150,113,113_0,Chansey,Chansey,1,1.1,34.6,Normal,,Natural Cure,Serene Grace,Healer,Pink,Fairy,,Ordinary,,False
151,114,114_0,Tangela,Tangela,1,1.0,35.0,Grass,,Chlorophyll,Leaf Guard,Regenerator,Blue,Grass,,Ordinary,,False
152,115,115_0,Kangaskhan,Kangaskhan,1,2.2,80.0,Normal,,Early Bird,Scrappy,Inner Focus,Brown,Monster,,Ordinary,,False
153,115,115_1,Kangaskhan,Mega Kangaskhan,1,2.2,100.0,Normal,,Parental Bond,,,Brown,Monster,,Ordinary,,True
154,116,116_0,Horsea,Horsea,1,0.4,8.0,Water,,Swift Swim,Sniper,Damp,Blue,Water1,Dragon,Ordinary,,False
155,117,117_0,Seadra,Seadra,1,1.2,25.0,Water,,Poison Point,Sniper,Damp,Blue,Water1,Dragon,Ordinary,,False
156,118,118_0,Goldeen,Goldeen,1,0.6,15.0,Water,,Swift Swim,Water Veil,Lightning Rod,Red,Water2,,Ordinary,,False
157,119,119_0,Seaking,Seaking,1,1.3,39.0,Water,,Swift Swim,Water Veil,Lightning Rod,Red,Water2,,Ordinary,,False
158,120,120_0,Staryu,Staryu,1,0.8,34.5,Water,,Illuminate,Natural Cure,Analytic,Brown,Water3,,Ordinary,,False
159,121,121_0,Starmie,Starmie,1,1.1,80.0,Water,Psychic,Illuminate,Natural Cure,Analytic,Purple,Water3,,Ordinary,,False
160,122,122_0,Mr. Mime,Mr. Mime,1,1.3,54.5,Psychic,Fairy,Soundproof,Filter,Technician,Pink,Human-Like,,Ordinary,,False
161,122,122_1,Mr. Mime,Galarian Mr. Mime,8,1.4,56.8,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,White,Human-Like,,Ordinary,Galarian,False
162,123,123_0,Scyther,Scyther,1,1.5,56.0,Bug,Flying,Swarm,Technician,Steadfast,Green,Bug,,Ordinary,,False
163,124,124_0,Jynx,Jynx,1,1.4,40.6,Ice,Psychic,Oblivious,Forewarn,Dry Skin,Red,Human-Like,,Ordinary,,False
164,125,125_0,Electabuzz,Electabuzz,1,1.1,30.0,Electric,,Static,,Vital Spirit,Yellow,Human-Like,,Ordinary,,False
165,126,126_0,Magmar,Magmar,1,1.3,44.5,Fire,,Flame Body,,Vital Spirit,Red,Human-Like,,Ordinary,,False
166,127,127_0,Pinsir,Pinsir,1,1.5,55.0,Bug,,Hyper Cutter,Mold Breaker,Moxie,Brown,Bug,,Ordinary,,False
167,127,127_1,Pinsir,Mega Pinsir,1,1.7,59.0,Bug,Flying,Aerilate,,,Brown,Bug,,Ordinary,,True
168,128,128_0,Tauros,Tauros,1,1.4,88.4,Normal,,Intimidate,Anger Point,Sheer Force,Brown,Ground,,Ordinary,,False
169,128,128_1,Tauros,Paldean Tauros Combat Breed,1,1.4,115.0,Fighting,,Intimidate,Anger Point,Cud Chew,Brown,Ground,,Ordinary,,False
170,128,128_2,Tauros,Paldean Tauros Blaze Breed,9,1.4,85.0,Fighting,Fire,Intimidate,Anger Point,Cud Chew,Brown,Ground,,Ordinary,Paldean,False
171,128,128_3,Tauros,Paldean Tauros Aqua Breed,9,1.4,110.0,Fighting,Water,Intimidate,Anger Point,Cud Chew,Brown,Ground,,Ordinary,Paldean,False
172,129,129_0,Magikarp,Magikarp,1,0.9,10.0,Water,,Swift Swim,,Rattled,Red,Water2,Dragon,Ordinary,,False
173,130,130_0,Gyarados,Gyarados,1,6.5,235.0,Water,Flying,Intimidate,,Moxie,Blue,Water2,Dragon,Ordinary,,False
174,130,130_1,Gyarados,Mega Gyarados,1,6.5,305.0,Water,Dark,Mold Breaker,,,Blue,Water2,Dragon,Ordinary,,True
175,131,131_0,Lapras,Lapras,1,2.5,220.0,Water,Ice,Water Absorb,Shell Armor,Hydration,Blue,Monster,Water1,Ordinary,,False
176,132,132_0,Ditto,Ditto,1,0.3,4.0,Normal,,Limber,,Imposter,Purple,Ditto,,Ordinary,,False
177,133,133_0,Eevee,Eevee,1,0.3,6.5,Normal,,Run Away,Adaptability,Anticipation,Brown,Ground,,Ordinary,,False
178,134,134_0,Vaporeon,Vaporeon,1,1.0,29.0,Water,,Water Absorb,,Hydration,Blue,Ground,,Ordinary,,False
179,135,135_0,Jolteon,Jolteon,1,0.8,24.5,Electric,,Volt Absorb,,Quick Feet,Yellow,Ground,,Ordinary,,False
180,136,136_0,Flareon,Flareon,1,0.9,25.0,Fire,,Flash Fire,,Guts,Red,Ground,,Ordinary,,False
181,137,137_0,Porygon,Porygon,1,0.8,36.5,Normal,,Trace,Download,Analytic,Pink,Mineral,,Ordinary,,False
182,138,138_0,Omanyte,Omanyte,1,0.4,7.5,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Blue,Water1,Water3,Ordinary,,False
183,139,139_0,Omastar,Omastar,1,1.0,35.0,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Blue,Water1,Water3,Ordinary,,False
184,140,140_0,Kabuto,Kabuto,1,0.5,11.5,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Brown,Water1,Water3,Ordinary,,False
185,141,141_0,Kabutops,Kabutops,1,1.3,40.5,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Brown,Water1,Water3,Ordinary,,False
186,142,142_0,Aerodactyl,Aerodactyl,1,1.8,59.0,Rock,Flying,Rock Head,Pressure,Unnerve,Purple,Flying,,Ordinary,,False
187,142,142_1,Aerodactyl,Mega Aerodactyl,1,2.1,79.0,Rock,Flying,Tough Claws,,,Purple,Flying,,Ordinary,,True
